Transaction_ID,Date_of_Purchase,Time_of_Purchase,Purchase_Type,Payment_Method,Railcard,Ticket_Class,Ticket_Type,Price,Departure_Station,Arrival_Destination,Date_of_Journey,Departure_Time,Arrival_Time,Actual_Arrival_Time,Journey_Status,Reason_for_Delay,Refund_Request,Log_Price,Reason_Group,Delay_Duration,Delay_Duration_Minutes,Delay_Category,Hour,DayOfWeek,Route
e098ea8c-682f-4b97-ad28,2024-04-03,7:30:38.000,Online,Contactless,None,Standard,Off-Peak,19,London Paddington,Reading,2024-04-03,9:00:00.000,10:00:00.000,10:00:00.000,On Time,No Delay,No,2.9444389792,None,,,No Delay,9,4,London Paddington to Reading
a9b1c069-ceb2-4a3b-af9b,2024-03-24,6:18:57.000,Online,Credit Card,None,Standard,Advance,8,London St Pancras,Birmingham New Street,2024-03-25,4:45:00.000,6:05:00.000,6:05:00.000,On Time,No Delay,No,2.0794415417,None,,,No Delay,4,2,London St Pancras to Birmingham New Street
283b05b1-2907-44d0-960d,2024-02-04,5:05:45.000,Online,Credit Card,None,Standard,Off-Peak,8,Birmingham New Street,Stafford,2024-02-04,6:30:00.000,7:00:00.000,7:00:00.000,On Time,No Delay,No,2.0794415417,None,,,No Delay,6,1,Birmingham New Street to Stafford
78ca2fd4-c9cf-4c64-bcc3,2024-04-28,9:37:49.000,Station,Credit Card,None,Standard,Off-Peak,10,London Euston,Birmingham New Street,2024-04-28,11:00:00.000,12:20:00.000,12:20:00.000,On Time,No Delay,No,2.302585093,None,,,No Delay,11,1,London Euston to Birmingham New Street
efa02399-03e0-4ede-8fd3,2024-03-23,18:14:11.000,Online,Contactless,None,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-03-24,16:30:00.000,17:00:00.000,17:00:00.000,On Time,No Delay,No,1.0986122887,None,,,No Delay,16,1,Manchester Piccadilly to Liverpool Lime Street
24f63d81-22a6-48cc-b69f,2024-04-01,14:09:26.000,Station,Credit Card,None,Standard,Off-Peak,19,Reading,London Paddington,2024-04-01,15:30:00.000,15:55:00.000,15:55:00.000,On Time,No Delay,No,2.9444389792,None,,,No Delay,15,2,Reading to London Paddington
13f44290-5532-49a5-85d0,2024-01-22,15:13:37.000,Station,Contactless,None,Standard,Anytime,70,London Kings Cross,York,2024-01-22,17:45:00.000,19:35:00.000,19:35:00.000,On Time,No Delay,No,4.248495242,None,,,No Delay,17,2,London Kings Cross to York
871cbc97-b133-4d05-8af4,2024-03-02,1:38:00.000,Station,Credit Card,Disabled,Standard,Advance,4,Birmingham New Street,Liverpool Lime Street,2024-03-03,0:00:00.000,1:30:00.000,1:30:00.000,On Time,No Delay,No,1.3862943611,None,,,No Delay,0,1,Birmingham New Street to Liverpool Lime Street
6ee69686-a085-4126-8906,2024-04-12,18:57:50.000,Station,Contactless,None,First Class,Off-Peak,15,Liverpool Lime Street,Manchester Piccadilly,2024-04-12,20:15:00.000,20:45:00.000,20:45:00.000,On Time,No Delay,No,2.7080502011,None,,,No Delay,20,6,Liverpool Lime Street to Manchester Piccadilly
bd22e3cc-03d4-494e-9ae0,2024-03-15,8:22:00.000,Station,Credit Card,None,Standard,Advance,3,Liverpool Lime Street,Manchester Piccadilly,2024-03-16,6:45:00.000,7:15:00.000,,Cancelled,Technical Issue,No,1.0986122887,Infrastructure,,,Cancelled,6,7,Liverpool Lime Street to Manchester Piccadilly
