Transaction ID,Date of Purchase,Time of Purchase,Purchase Type,Payment Method,Railcard,Ticket Class,Ticket Type,Price,Departure Station,Arrival Destination,Date of Journey,Departure Time,Arrival Time,Actual Arrival Time,Journey Status,Reason for Delay,Refund Request
e098ea8c-682f-4b97-ad28,2024-04-03,07:30:38,Online,Contactless,,Standard,Off-Peak,19,London Paddington,Reading,2024-04-03,09:00:00,10:00:00,10:00:00,On Time,,No
a9b1c069-ceb2-4a3b-af9b,2024-03-24,06:18:57,Online,Credit Card,,Standard,Advance,8,London St Pancras,Birmingham New Street,2024-03-25,04:45:00,06:05:00,06:05:00,On Time,,No
283b05b1-2907-44d0-960d,2024-02-04,05:05:45,Online,Credit Card,,Standard,Off-Peak,8,Birmingham New Street,Stafford,2024-02-04,06:30:00,07:00:00,07:00:00,On Time,,No
78ca2fd4-c9cf-4c64-bcc3,2024-04-28,09:37:49,Station,Credit Card,,Standard,Off-Peak,10,London Euston,Birmingham New Street,2024-04-28,11:00:00,12:20:00,12:20:00,On Time,,No
efa02399-03e0-4ede-8fd3,2024-03-23,18:14:11,Online,Contactless,,Standard,Advance,3,Manchester Piccadilly,Liverpool Lime Street,2024-03-24,16:30:00,17:00:00,17:00:00,On Time,,No
24f63d81-22a6-48cc-b69f,2024-04-01,14:09:26,Station,Credit Card,,Standard,Off-Peak,19,Reading,London Paddington,2024-04-01,15:30:00,15:55:00,15:55:00,On Time,,No
13f44290-5532-49a5-85d0,2024-01-22,15:13:37,Station,Contactless,,Standard,Anytime,70,London Kings Cross,York,2024-01-22,17:45:00,19:35:00,19:35:00,On Time,,No
871cbc97-b133-4d05-8af4,2024-03-02,01:38:00,Station,Credit Card,Disabled,Standard,Advance,4,Birmingham New Street,Liverpool Lime Street,2024-03-03,00:00:00,01:30:00,01:30:00,On Time,,No
6ee69686-a085-4126-8906,2024-04-12,18:57:50,Station,Contactless,,First Class,Off-Peak,15,Liverpool Lime Street,Manchester Piccadilly,2024-04-12,20:15:00,20:45:00,20:45:00,On Time,,No
bd22e3cc-03d4-494e-9ae0,2024-03-15,08:22:00,Station,Credit Card,,Standard,Advance,3,Liverpool Lime Street,Manchester Piccadilly,2024-03-16,06:45:00,07:15:00,,Cancelled,Technical Issue,No
4717e289-49ea-40e4-91e6,2024-02-19,08:27:50,Online,Credit Card,,Standard,Advance,18,London Paddington,Oxford,2024-02-25,07:45:00,09:15:00,09:15:00,On Time,,No
6266067b-c119-42d2-b755,2024-04-21,14:25:28,Online,Credit Card,Disabled,Standard,Off-Peak,7,London Euston,Birmingham New Street,2024-04-21,15:45:00,17:05:00,17:05:00,On Time,,No
2255fafb-08b1-48d4-a55f,2024-01-11,20:28:10,Station,Contactless,,Standard,Advance,35,London Kings Cross,York,2024-01-12,17:45:00,19:35:00,,Cancelled,Signal Failure,No
81a533dd-4ffb-4cc8-9b50,2024-01-06,20:46:09,Station,Credit Card,,Standard,Off-Peak,53,London Kings Cross,York,2024-01-06,22:15:00,00:05:00,00:05:00,On Time,,No
709c106d-a8ec-4db9-846a,2024-02-08,16:21:29,Online,Credit Card,Adult,Standard,Advance,5,London St Pancras,Birmingham New Street,2024-02-11,14:45:00,16:05:00,16:05:00,On Time,,No
fd03bf63-5fc5-4810-94e3,2024-04-13,19:46:17,Station,Credit Card,,First Class,Off-Peak,78,London Euston,Birmingham New Street,2024-04-13,21:15:00,22:35:00,22:35:00,On Time,,No
4636717b-89e5-4cc3-be3a,2024-01-17,10:40:56,Station,Contactless,,Standard,Advance,3,Liverpool Lime Street,Manchester Piccadilly,2024-01-18,09:00:00,09:30:00,09:30:00,On Time,,No
e33e7ae5-b8f0-4869-b7ce,2024-01-19,12:42:14,Online,Credit Card,Adult,Standard,Off-Peak,8,London St Pancras,Birmingham New Street,2024-01-19,14:00:00,15:20:00,15:20:00,On Time,,No
58000960-7ab9-48ca-8898,2024-03-27,12:32:22,Online,Contactless,,Standard,Advance,8,London St Pancras,Birmingham New Street,2024-03-28,11:00:00,12:20:00,12:20:00,On Time,,No
8bc88dec-9bd8-4a89-9994,2024-02-09,06:23:56,Station,Credit Card,Disabled,Standard,Anytime,11,London St Pancras,Birmingham New Street,2024-02-09,07:45:00,09:05:00,09:05:00,On Time,,No
dca731ba-c49b-437f-811d,2024-03-15,16:10:13,Station,Contactless,,Standard,Anytime,70,London Kings Cross,York,2024-03-15,17:45:00,19:35:00,,Cancelled,Signal failure,Yes
7d9455f4-bd5d-4d59-b00c,2024-04-27,17:13:26,Station,Debit Card,Adult,Standard,Off-Peak,76,Liverpool Lime Street,London Euston,2024-04-27,17:30:00,19:45:00,20:05:00,Delayed,Technical Issue,Yes
704ee1a5-aa39-49b6-b489,2024-01-02,05:05:21,Online,Credit Card,Disabled,Standard,Anytime,29,Birmingham New Street,London St Pancras,2024-01-02,06:30:00,07:50:00,07:50:00,On Time,,No
c03218ef-ff8f-45f4-89fa,2024-04-11,10:37:45,Online,Contactless,,Standard,Advance,13,London Paddington,Reading,2024-04-12,09:00:00,10:00:00,10:00:00,On Time,,No
